source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
main,2026-04-20,159206,卫星ETF,REDUCE,65.3,B,,R2,,0,6.0,,,,,,,,当前机制R2不支持B级品种,1.883,1.885,1.867,1.82,1.93,0.001062,-0.008497,-0.033457,0.02496,0.027084,-0.065321,0.00222,0.006073,0.00284,0.030073,-0.001158,-0.01457,-0.036297,-0.005113,True,complete
main,2026-04-20,159326,电网设备ETF,REDUCE,62.5,B,,R2,,0,6.0,,,,,,,,当前机制R2不支持B级品种,1.982,1.96,2.017,1.983,2.075,-0.0111,0.017659,0.000505,0.046922,0.048436,-0.028759,0.00222,0.006073,0.00284,0.030073,-0.01332,0.011586,-0.002335,0.016849,False,complete
main,2026-04-20,159995,芯片ETF,AVOID,52.6,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.881,1.854,1.879,2.006,2.237,-0.014354,-0.001063,0.066454,0.189261,0.212121,-0.028177,0.00222,0.006073,0.00284,0.030073,-0.016574,-0.007136,0.063614,0.159188,True,complete
main,2026-04-20,561980,芯片设备ETF,AVOID,52.4,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,2.313,2.269,2.31,2.499,2.75,-0.019023,-0.001297,0.080415,0.188932,0.230869,-0.027237,0.00222,0.006073,0.00284,0.030073,-0.021243,-0.00737,0.077575,0.158859,True,complete
main,2026-04-20,562500,机器人ETF,AVOID,50.8,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.017,1.014,1.013,1.033,1.097,-0.00295,-0.003933,0.015733,0.078663,0.078663,-0.022616,0.00222,0.006073,0.00284,0.030073,-0.00517,-0.010006,0.012893,0.04859,True,complete
main,2026-04-20,588000,科创50ETF,AVOID,50.6,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.527,1.504,1.508,1.591,1.769,-0.015062,-0.012443,0.041912,0.158481,0.18664,-0.023576,0.00222,0.006073,0.00284,0.030073,-0.017282,-0.018515,0.039072,0.128408,True,complete
main,2026-04-20,159667,工业母机ETF,AVOID,50.1,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.962,1.975,1.994,2.001,2.178,0.006626,0.01631,0.019878,0.110092,0.111621,-0.01631,0.00222,0.006073,0.00284,0.030073,0.004406,0.010237,0.017038,0.080019,True,complete
main,2026-04-20,515880,通信ETF,AVOID,50.1,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.342,1.338,1.396,1.355,1.414,-0.002981,0.040238,0.009687,0.053651,0.067064,-0.031297,0.00222,0.006073,0.00284,0.030073,-0.0052,0.034166,0.006847,0.023578,True,complete
main,2026-04-20,562960,绿色电力ETF,AVOID,48.2,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.203,1.22,1.238,1.211,1.245,0.014131,0.029094,0.00665,0.034913,0.037406,-0.010806,0.00222,0.006073,0.00284,0.030073,0.011912,0.023021,0.00381,0.00484,True,complete
main,2026-04-20,159611,电力ETF,AVOID,46.5,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.109,1.123,1.142,1.116,1.149,0.012624,0.029757,0.006312,0.036069,0.038774,-0.009017,0.00222,0.006073,0.00284,0.030073,0.010404,0.023684,0.003472,0.005996,True,complete
