source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
stock,2026-04-23,688981,中芯国际,SELL_STOP,-4,,,,,0,5.0,半导体代工,semicon,core,★★★,,,,跌破60线; RSI超买78,106.45,110.96,114.0,,,0.042367,0.070925,,,0.105589,-0.017285,-0.003543,-0.005875,,,0.045911,0.0768,,,False,pending
stock,2026-04-23,688012,中微公司,REDUCE,-2,,,,,0,1.08,半导体设备,semicon,core,★★★,,,,跌破60线,315.9,323.38,362.27,,,0.023678,0.146787,,,0.181102,-0.02026,-0.003543,-0.005875,,,0.027222,0.152662,,,True,pending
stock,2026-04-23,603986,兆易创新,REDUCE,-2,,,,,0,5.0,存储芯片,semicon,candidate,★★☆,,,,RSI超买79,306.33,297.7,307.5,,,-0.028172,0.003819,,,0.042438,-0.044135,-0.003543,-0.005875,,,-0.024629,0.009694,,,False,pending
stock,2026-04-23,601899,紫金矿业,REDUCE,-2,,,,,0,1.51,铜金矿,commodity,watch,★☆☆,,,,跌破60线,34.46,34.31,32.95,,,-0.004353,-0.043819,,,-0.001161,-0.056587,-0.003543,-0.005875,,,-0.000809,-0.037944,,,True,pending
stock,2026-04-23,600031,三一重工,REDUCE,-2,,,,,0,-2.15,工程机械,machinery,watch,★★☆,,,,跌破60线,19.58,19.52,20.14,,,-0.003064,0.028601,,,0.046987,-0.01379,-0.003543,-0.005875,,,0.000479,0.034476,,,True,pending
stock,2026-04-23,603259,药明康德,REDUCE,-2,,,,,0,-1.36,CXO,pharma,watch,★☆☆,,,,跌破20线; 绿柱扩张,100.29,100.08,110.57,,,-0.002094,0.102503,,,0.141689,-0.019942,-0.003543,-0.005875,,,0.001449,0.108378,,,True,pending
stock,2026-04-23,600519,贵州茅台,REDUCE,-2,,,,,0,-1.56,高端白酒,consumer,core,★★★,,,,跌破60线,1415.98,1458.49,1405.0,,,0.030022,-0.007754,,,0.030297,-0.011208,-0.003543,-0.005875,,,0.033565,-0.001879,,,True,pending
stock,2026-04-23,601888,中国中免,REDUCE,-2,,,,,0,-3.94,免税零售,consumer,candidate,★★☆,,,,跌破60线,66.31,65.42,64.56,,,-0.013422,-0.026391,,,-0.002262,-0.03182,-0.003543,-0.005875,,,-0.009878,-0.020516,,,True,pending
stock,2026-04-23,688041,海光信息,REDUCE,-2,,,,,0,5.0,国产CPU/GPU,semicon,core,★★★,,,,RSI超买85,263.76,285.0,289.0,,,0.080528,0.095693,,,0.156354,0.027677,-0.003543,-0.005875,,,0.084071,0.101568,,,False,pending
stock,2026-04-23,600183,生益科技,REDUCE,-2,,,,,0,5.0,PCB基板/覆铜板,pcb,core,★★★,,,,RSI超买96,75.05,72.63,76.62,,,-0.032245,0.020919,,,0.077548,-0.046636,-0.003543,-0.005875,,,-0.028702,0.026794,,,False,pending
stock,2026-04-23,600426,华鲁恒升,REDUCE,-2,,,,,0,-1.02,煤化工/化肥,chemical,candidate,★★☆,,,,跌破60线,36.16,37.62,38.99,,,0.040376,0.078263,,,0.096792,0.00719,-0.003543,-0.005875,,,0.04392,0.084138,,,True,pending
stock,2026-04-23,603799,华友钴业,REDUCE,-2,,,,,0,1.04,钴/三元前驱体,battery_materials,candidate,★★☆,,,,跌破60线,62.3,64.78,64.76,,,0.039807,0.039486,,,0.089888,-0.00305,-0.003543,-0.005875,,,0.043351,0.045361,,,False,pending
stock,2026-04-23,002594,比亚迪,REDUCE,-2,,,,,0,-2.46,电动车/刀片电池,new_energy,core,★★★,,,,跌破20线; 绿柱扩张,100.01,99.46,101.48,,,-0.005499,0.014699,,,0.056294,-0.013099,-0.003543,-0.005875,,,-0.001956,0.020574,,,True,pending
